label	sentence
0	you might not buy the ideas .
0	a waste of good performances .
0	a bravura exercise in emptiness .
0	the central story lacks punch .
0	i hated every minute of it .
1	worth the effort to watch .
1	a wildly funny prison caper .
1	it never fails to engage us .
0	nothing more than a mediocre trifle .
1	a harmless and mildly amusing family comedy .
1	the voices are fine as well .
0	the film seems a dead weight .
1	it 's still worth a look .
1	one of the best of the year .
1	the new guy does have a heart .
